strategy,selected_mrr_mean,selected_mrr_std,selected_hits_10_mean,selected_hits_10_std,selected_recall_10_mean,selected_recall_10_std,selected_pr_auc_mean,selected_pr_auc_std,all_shortest_mrr_mean,all_shortest_mrr_std,all_shortest_hits_10_mean,all_shortest_hits_10_std,all_shortest_recall_10_mean,all_shortest_recall_10_std,all_shortest_pr_auc_mean,all_shortest_pr_auc_std,answer_reach_10_mean,answer_reach_10_std,training_seconds_mean,training_seconds_std,peak_cuda_memory_bytes_mean,peak_cuda_memory_bytes_std
strategy1_negative,0.976107771097751,0.0035440184211175973,1.0,0.0,0.7416912506523501,0.0008110502433355465,0.9604566988542379,0.002738825890203597,0.9880872856824761,0.002158842065204337,1.0,0.0,0.7287826120242048,0.00044759230734232186,0.9798658470090231,0.0022158665969811793,0.8292585170340682,0.0043956403143251945,440.33850364852697,32.102566397384166,47168512.0,0.0
strategy2_ignore,0.9620908483633934,0.0028422839927009402,1.0,0.0,0.7368582262876753,0.0010314747464046322,0.9472694468135999,0.002090206396111615,0.9889111556446226,0.0012781583289750308,1.0,0.0,0.7291639511163888,0.0003691159799174733,0.9819165290581037,0.0011292328100902225,0.9132932531730127,0.010395976020018982,424.5700297629461,48.37589470548536,47168512.0,0.0
strategy3_positive,0.9580494321977289,0.00453003313972993,1.0,0.0,0.7342291527067848,0.0007757970634439371,0.9407431642516604,0.0030976258377836702,0.9883322199955467,0.001339248642502376,1.0,0.0,0.7290687471973613,0.0002158192389794774,0.9823778952852993,0.0005848080864144629,0.9360053440213761,0.005331481613690006,444.9958572389558,127.94248866575192,47168512.0,0.0
random_drop,0.9753061678913382,0.0036515103300182915,1.0,0.0,0.7414529376141422,0.0008952887442816492,0.9591497723587118,0.002786130148187639,0.9875083500334001,0.0023372139754700644,1.0,0.0,0.7288757525805093,0.00046575594079239276,0.9791767567000621,0.0019066718633313094,0.8392785571142285,0.008203116330265174,345.6963265508413,112.83036222564925,47168512.0,0.0
